city,lat,lng,country,admin_name,population,greenSpaceArea_m2,greenSpaceArea_km2
Gastonia,35.2494,-81.1854,United States,North Carolina,178220.0,304421681.84653616,304.42
Salinas,36.6883,-121.6317,United States,California,177410.0,68593186.3541407,68.59
Fredericksburg,38.2992,-77.4872,United States,Virginia,176791.0,242848880.81111884,242.85
Ontario,34.0393,-117.6064,United States,California,176326.0,17934058.451066833,17.93
Gainesville,34.2902,-83.8294,United States,Georgia,175569.0,259712068.69595063,259.71
Lancaster,34.6935,-118.1753,United States,California,171465.0,105602383.3159805,105.6
Manchester,42.9848,-71.4447,United States,New Hampshire,169097.0,4004424.790527758,4.0
Palmdale,34.5944,-118.1057,United States,California,166895.0,11425905.97588854,11.43
Norwich,41.5495,-72.0882,United States,Connecticut,166885.0,235927436.0669588,235.93
Leesburg,28.7672,-81.8962,United States,Florida,166200.0,140540034.88877207,140.54
High Point,35.991,-79.9937,United States,North Carolina,164836.0,253533870.2201919,253.53
Visalia,36.3276,-119.3269,United States,California,163681.0,113235302.10775524,113.24
Marysville,48.0809,-122.1561,United States,Washington,162664.0,235512.5632502238,0.24
Merced,37.3057,-120.4779,United States,California,160638.0,93262355.806412,93.26
Lafayette,40.3991,-86.8593,United States,Indiana,160543.0,108168607.67750277,108.17
Springfield,39.7709,-89.654,United States,Illinois,159671.0,85698986.7704538,85.7
Alexandria,38.8185,-77.0861,United States,Virginia,157594.0,106278708.03861666,106.28
Macon,32.8065,-83.6974,United States,Georgia,156554.0,113378613.37303407,113.38
Kansas City,39.1235,-94.7443,United States,Kansas,155438.0,101489221.75370198,101.49
Odessa,31.8801,-102.3448,United States,Texas,155039.0,902255.6082629334,0.9
South Lyon,42.4614,-83.6526,United States,Michigan,152132.0,5242.825712316177,0.01
Lake Charles,30.201,-93.2111,United States,Louisiana,151109.0,118557162.07120846,118.56
Bellevue,47.5951,-122.1535,United States,Washington,150606.0,3301307.7825223133,3.3
Fairfield,38.2583,-122.0335,United States,California,149635.0,40633300.09099922,40.63
Mesquite,32.7602,-96.5865,United States,Texas,149439.0,93566770.42927738,93.57
Elkhart,41.6916,-85.9627,United States,Indiana,149423.0,597.5296325683594,0.0
Topeka,39.0346,-95.6955,United States,Kansas,148185.0,62305255.22438403,62.31
Burlington,36.076,-79.4685,United States,North Carolina,147415.0,273743680.6762201,273.74
Warner Robins,32.5961,-83.6527,United States,Georgia,146790.0,167244431.67274493,167.24
Athens,33.9508,-83.3689,United States,Georgia,143173.0,73036946.75011837,73.04
Columbia,38.9472,-92.3268,United States,Missouri,142637.0,206466135.0833289,206.47
Beaumont,30.0849,-94.1451,United States,Texas,140930.0,151753409.8225003,151.75
Las Cruces,32.3265,-106.7893,United States,New Mexico,140915.0,15126182.00051348,15.13
Midland,32.0243,-102.1147,United States,Texas,140171.0,1042473.4603849524,1.04
Orange,33.8038,-117.8218,United States,California,138728.0,33385582.808690034,33.39
Warren,42.4934,-83.027,United States,Michigan,138588.0,1133934.611328125,1.13
Tyler,32.3184,-95.3062,United States,Texas,138024.0,170602196.11271396,170.6
Hampton,37.0551,-76.363,United States,Virginia,137217.0,85971153.04479115,85.97
Bloomington,40.4757,-88.9703,United States,Illinois,136524.0,39937798.87954809,39.94
Carrollton,32.989,-96.8999,United States,Texas,132284.0,44283358.76483518,44.28
Johnson City,36.3406,-82.3806,United States,Tennessee,131718.0,210693033.27379185,210.69
Billings,45.7891,-108.5526,United States,Montana,131519.0,12333622.978412194,12.33
Dover,39.161,-75.5202,United States,Delaware,130186.0,147613678.71507037,147.61
Bellingham,48.7548,-122.469,United States,Washington,129880.0,7140643.910742755,7.14
Charleston,38.3484,-81.6322,United States,West Virginia,129754.0,96691738.05226052,96.69
Norman,35.2335,-97.3471,United States,Oklahoma,127701.0,189875552.9950199,189.88
Greenville,35.5943,-77.376,United States,North Carolina,127574.0,181116863.7238643,181.12
Fort Smith,35.3495,-94.3695,United States,Arkansas,126452.0,121441299.3032569,121.44
Abilene,32.4543,-99.7384,United States,Texas,126356.0,11544241.721788172,11.54
Lehigh Acres,26.612,-81.6388,United States,Florida,124440.0,139491438.7444744,139.49
Burlington,44.4876,-73.2316,United States,Vermont,123307.0,273743680.6762201,273.74
Independence,39.0871,-94.3501,United States,Missouri,122218.0,169914308.56803423,169.91
Rochester,44.0154,-92.478,United States,Minnesota,121870.0,145.753173828125,0.0
Clovis,36.8278,-119.683,United States,California,120607.0,30628934.19681881,30.63
Pueblo,38.2701,-104.6114,United States,Colorado,120380.0,3326195.8229901483,3.33
Temple,31.1068,-97.3891,United States,Texas,120240.0,38046534.46739287,38.05
Meridian,43.6116,-116.3977,United States,Idaho,119872.0,46187046.99732597,46.19
The Woodlands,30.1738,-95.5134,United States,Texas,118402.0,181616927.9018502,181.62
Cambridge,42.3759,-71.1185,United States,Massachusetts,117962.0,13095911.254903937,13.1
Port Arthur,29.8554,-93.9264,United States,Texas,117348.0,77478407.45069382,77.48
Redding,40.5698,-122.365,United States,California,117163.0,54575749.21937644,54.58
Monroe,32.5185,-92.0774,United States,Louisiana,116927.0,225500619.6945381,225.5
St. Cloud,45.534,-94.1718,United States,Minnesota,116649.0,10299.172416687012,0.01
Mandeville,30.3751,-90.0904,United States,Louisiana,116649.0,135256358.70980126,135.26
Richmond,37.9477,-122.3389,United States,California,115619.0,199403067.22995743,199.4
Saginaw,43.4199,-83.9501,United States,Michigan,115442.0,3990.9363021850586,0.0
Brandon,27.9367,-82.3,United States,Florida,114923.0,164694918.04770127,164.69
Carlsbad,33.1246,-117.2834,United States,California,114745.0,25655076.74573619,25.66
Broken Arrow,36.038,-95.7806,United States,Oklahoma,114237.0,125039695.30756696,125.04
Elgin,42.0383,-88.324,United States,Illinois,114190.0,41119491.214253075,41.12
Waterloo,42.4918,-92.3522,United States,Iowa,112333.0,5060421.164750702,5.06
Longview,32.5193,-94.7622,United States,Texas,111855.0,203646435.32581344,203.65
Jacksonville,34.7289,-77.3941,United States,North Carolina,111830.0,128834883.185242,128.83
Bend,44.0563,-121.3095,United States,Oregon,111774.0,10076611.883120878,10.08
Gilroy,37.0046,-121.5854,United States,California,110720.0,117914987.78561848,117.91
Temecula,33.4928,-117.1315,United States,California,110114.0,41254845.92085361,41.25
Chico,39.7578,-121.8161,United States,California,110001.0,95874899.54842997,95.87
Bloomington,39.1637,-86.5257,United States,Indiana,108387.0,39937798.87954809,39.94
Columbia,39.2004,-76.859,United States,Maryland,106600.0,206466135.0833289,206.47
Auburn,32.6087,-85.4903,United States,Alabama,105386.0,274094392.648254,274.09
Holland,42.7677,-86.0984,United States,Michigan,105134.0,1174.3612213134766,0.0
Rio Rancho,35.2873,-106.6982,United States,New Mexico,104351.0,2433892.4804095104,2.43
Norwalk,33.9069,-118.0829,United States,California,101893.0,19526740.872456502,19.53
Lee's Summit,38.9171,-94.3816,United States,Missouri,101728.0,190938760.75642177,190.94
Longmont,40.1686,-105.1005,United States,Colorado,101642.0,44322278.80767813,44.32
Vacaville,38.3587,-121.9673,United States,California,101631.0,61254733.929619,61.25
Quincy,42.2506,-71.0187,United States,Massachusetts,100981.0,69815251.03396288,69.82
San Angelo,31.4424,-100.4504,United States,Texas,100057.0,7846864.221813935,7.85
Hesperia,34.3975,-117.3147,United States,California,99878.0,3841874.043027271,3.84
Bowling Green,36.9716,-86.4378,United States,Kentucky,99669.0,222477967.14590335,222.48
Carmel,39.965,-86.146,United States,Indiana,99453.0,32706912.936482545,32.71
Lafayette,39.9946,-105.0998,United States,Colorado,98889.0,108168607.67750277,108.17
St. Augustine,29.8976,-81.31,United States,Florida,97703.0,125561021.98875596,125.56
Goodyear,33.2614,-112.3622,United States,Arizona,97542.0,7184092.239648407,7.18
Portsmouth,36.8468,-76.354,United States,Virginia,97384.0,127338235.14842232,127.34
Portsmouth,43.058,-70.7826,United States,New Hampshire,96146.0,127338235.14842232,127.34
Lawrence,38.9597,-95.2642,United States,Kansas,96061.0,105955986.45841,105.96
Sandy,40.5709,-111.8506,United States,Utah,95635.0,14311993.828558812,14.31
Buckeye,33.4314,-112.6429,United States,Arizona,95042.0,64783945.43106821,64.78
Suffolk,36.6953,-76.6398,United States,Virginia,94856.0,254915551.70845348,254.92
Edmond,35.6689,-97.416,United States,Oklahoma,94503.0,158339065.41174287,158.34
San Marcos,33.135,-117.1743,United States,California,94360.0,31650555.14003148,31.65
Prescott Valley,34.598,-112.3185,United States,Arizona,93923.0,2658448.395122244,2.66
Middletown,39.5033,-84.3659,United States,Ohio,93870.0,157889490.50140923,157.89
Santa Fe,35.6619,-105.9819,United States,New Mexico,93165.0,1984181.3866222904,1.98
New Braunfels,29.6994,-98.1148,United States,Texas,92993.0,21432167.85780302,21.43
Roswell,34.0391,-84.3513,United States,Georgia,92770.0,205761073.4360234,205.76
Conroe,30.3238,-95.4824,United States,Texas,92475.0,194220079.4095029,194.22
Palm Coast,29.5389,-81.2457,United States,Florida,91082.0,234510255.45751572,234.51
Norwalk,41.1144,-73.4215,United States,Connecticut,91050.0,19526740.872456502,19.53
Lawton,34.6175,-98.4202,United States,Oklahoma,91023.0,44461042.986040905,44.46
Mount Pleasant,32.8537,-79.8203,United States,South Carolina,90945.0,96375135.54408294,96.38
Florence,34.178,-79.7898,United States,South Carolina,90419.0,249939367.62436056,249.94
Joplin,37.0757,-94.5018,United States,Missouri,90384.0,201455961.53531203,201.46
Bloomington,44.8306,-93.3151,United States,Minnesota,89244.0,39937798.87954809,39.94
Avondale,33.3873,-112.3235,United States,Arizona,89214.0,21650599.68337868,21.65
Missoula,46.8751,-114.0214,United States,Montana,88780.0,34507.77692892037,0.03
Newton,42.3316,-71.2085,United States,Massachusetts,88453.0,43237431.284004435,43.24
Lawrence,42.7002,-71.1626,United States,Massachusetts,88067.0,105955986.45841,105.96
Muncie,40.1989,-85.395,United States,Indiana,88061.0,12626903.943328144,12.63
Rapid City,44.0716,-103.2204,United States,South Dakota,87826.0,4163086.943558427,4.16
Troy,42.5817,-83.1457,United States,Michigan,87170.0,653954.7226604088,0.65
Livermore,37.6868,-121.7607,United States,California,87154.0,13054086.888575245,13.05
Decatur,39.8557,-88.9342,United States,Illinois,86231.0,99998854.4412384,100.0
Auburn,47.3039,-122.2108,United States,Washington,85623.0,274094392.648254,274.09
Bryan,30.665,-96.3807,United States,Texas,84820.0,116030725.62110466,116.03
Napa,38.2975,-122.301,United States,California,84703.0,89673768.07915244,89.67
Baytown,29.7587,-94.9671,United States,Texas,84449.0,98610611.5728299,98.61
Cicero,41.8445,-87.7593,United States,Illinois,84189.0,601710.0648695404,0.6
Anderson,40.0891,-85.6892,United States,Indiana,83875.0,21672583.04936138,21.67
Franklin,35.92,-86.8516,United States,Tennessee,83630.0,185684066.3158684,185.68
Albany,31.5776,-84.1762,United States,Georgia,83447.0,402667.6730500464,0.4
Warwick,41.7062,-71.4334,United States,Rhode Island,82783.0,86003636.2344498,86.0
Jackson,42.2431,-84.4038,United States,Michigan,82775.0,189221448.9944175,189.22
Salisbury,38.3756,-75.5865,United States,Maryland,81921.0,213971382.710605,213.97
Springfield,39.93,-83.7959,United States,Ohio,81620.0,85698986.7704538,85.7
Florence,34.8303,-87.6655,United States,Alabama,81268.0,249939367.62436056,249.94
Terre Haute,39.466,-87.3751,United States,Indiana,80567.0,133718774.28584816,133.72
Flagstaff,35.1872,-111.6194,United States,Arizona,80167.0,5483793.698726939,5.48
Plymouth,45.0225,-93.4617,United States,Minnesota,79918.0,70.7134017944336,0.0
Turlock,37.5053,-120.8588,United States,California,79301.0,139072648.87526506,139.07
Pleasanton,37.6663,-121.8805,United States,California,78691.0,74845044.19287728,74.85
Jonesboro,35.8212,-90.6791,United States,Arkansas,78379.0,133299787.21419825,133.3
Battle Creek,42.2985,-85.2296,United States,Michigan,78338.0,40502.48588747511,0.04
Cheyenne,41.135,-104.7902,United States,Wyoming,78204.0,985979.8786057116,0.99
Lebanon,40.3412,-76.4228,United States,Pennsylvania,78147.0,85412906.55480789,85.41
Davis,38.5553,-121.737,United States,California,77874.0,69737267.09145862,69.74
Elizabethtown,37.7031,-85.8773,United States,Kentucky,77770.0,201993751.7044607,201.99
Hammond,41.6168,-87.4909,United States,Indiana,77390.0,3149169.074345099,3.15
Evanston,42.0464,-87.6943,United States,Illinois,77181.0,5200750.654133758,5.2
Alexandria,31.2923,-92.4702,United States,Louisiana,77109.0,106278708.03861666,106.28
North Port,27.0576,-82.1977,United States,Florida,76975.0,193175317.33330575,193.18
Camarillo,34.223,-119.0321,United States,California,76748.0,78203257.2357603,78.2
Loveland,40.4166,-105.0623,United States,Colorado,76500.0,24755261.699738298,24.76
Pittsburg,38.0182,-121.8965,United States,California,76419.0,19258072.04800531,19.26
Hammond,30.5061,-90.4563,United States,Louisiana,76032.0,3149169.074345099,3.15
Owensboro,37.7575,-87.1172,United States,Kentucky,75644.0,108925122.51249748,108.93
St. Joseph,39.7598,-94.821,United States,Missouri,75033.0,89231896.70714235,89.23
Dover,43.1887,-70.8845,United States,New Hampshire,74554.0,147613678.71507037,147.61
Oshkosh,44.0227,-88.5619,United States,Wisconsin,74251.0,714042.7436579682,0.71
Redmond,47.6763,-122.1169,United States,Washington,73728.0,399673.5302301444,0.4
Mansfield,32.569,-97.1213,United States,Texas,73680.0,71879511.09092002,71.88
Sheboygan,43.7403,-87.7316,United States,Wisconsin,73531.0,1138931.462103331,1.14
Mansfield,40.7656,-82.5275,United States,Ohio,73448.0,71879511.09092002,71.88
Lodi,38.1218,-121.2932,United States,California,73239.0,82173842.3528979,82.17
Harrisonburg,38.4362,-78.8735,United States,Virginia,73160.0,106942531.84612444,106.94
Dothan,31.2336,-85.407,United States,Alabama,73037.0,194951710.88718084,194.95
Cleveland,35.1817,-84.8707,United States,Tennessee,72870.0,507537.09032135014,0.51
Jackson,35.6538,-88.8354,United States,Tennessee,72836.0,189221448.9944175,189.22
Mount Vernon,40.9136,-73.8291,United States,New York,72817.0,70017079.63008758,70.02
Camden,39.9361,-75.1073,United States,New Jersey,71799.0,57497362.29987967,57.5
Georgetown,30.666,-97.6966,United States,Texas,71788.0,22376937.199785184,22.38
Porterville,36.0643,-119.0338,United States,California,71669.0,79437433.34450752,79.44
Blacksburg,37.23,-80.4279,United States,Virginia,71277.0,277231658.85522366,277.23
Sumter,33.9392,-80.393,United States,South Carolina,71234.0,252868510.39256075,252.87
Janesville,42.6854,-89.0135,United States,Wisconsin,71202.0,26776038.46447622,26.78
Dublin,37.7161,-121.8963,United States,California,71068.0,68588844.72837582,68.59
Spring Hill,35.7437,-86.9116,United States,Tennessee,70531.0,169939583.8150087,169.94
El Paso de Robles,35.6394,-120.656,United States,California,70128.0,23544224.309735797,23.54
Sherman,33.6273,-96.6221,United States,Texas,69880.0,140338509.3093437,140.34
Conway,35.0753,-92.4692,United States,Arkansas,69651.0,239286153.2362043,239.29
Union City,37.6032,-122.0181,United States,California,69502.0,74553342.37026674,74.55
Michigan City,41.7092,-86.869,United States,Indiana,69459.0,6338.1761474609375,0.01
Poinciana,28.1217,-81.4821,United States,Florida,69311.0,228075863.9716717,228.08
Tulare,36.1995,-119.34,United States,California,69261.0,133559124.60661356,133.56
Dalton,34.769,-84.972,United States,Georgia,68614.0,319474975.07220346,319.47
Dubuque,42.5002,-90.707,United States,Iowa,68601.0,54834715.50985225,54.83
Ankeny,41.7288,-93.6031,United States,Iowa,68392.0,42944930.81260419,42.94
Maricopa,33.0408,-112.0011,United States,Arizona,68376.0,25499006.090734836,25.5
Franklin,40.4759,-74.5515,United States,New Jersey,68219.0,185684066.3158684,185.68
Hanford,36.3274,-119.6549,United States,California,68122.0,118097628.59998654,118.1
Bristol,36.5572,-82.2154,United States,Tennessee,68083.0,201315807.22595116,201.32
Watsonville,36.9206,-121.7708,United States,California,68020.0,132964041.7374453,132.96
Shawnee,39.0158,-94.8076,United States,Kansas,67671.0,145095058.35358575,145.1
San Marcos,29.8734,-97.9356,United States,Texas,67491.0,31650555.14003148,31.65
Great Falls,47.5022,-111.2996,United States,Montana,67300.0,2595228.422973633,2.6
Union City,40.7675,-74.0323,United States,New Jersey,67258.0,74553342.37026674,74.55
Longview,46.1461,-122.963,United States,Washington,67203.0,203646435.32581344,203.65
Corvallis,44.5698,-123.2779,United States,Oregon,67187.0,8858914.31795237,8.86
Middletown,40.3892,-74.082,United States,New Jersey,66952.0,157889490.50140923,157.89
Mount Vernon,48.4203,-122.3115,United States,Washington,66896.0,70017079.63008758,70.02
Casper,42.842,-106.3208,United States,Wyoming,66876.0,562803.6674804688,0.56
Ames,42.0256,-93.6217,United States,Iowa,66729.0,51101460.44483669,51.1
Morristown,36.2043,-83.3001,United States,Tennessee,66220.0,261641744.38012424,261.64
Gloucester,39.7924,-75.0363,United States,New Jersey,65812.0,178863673.79196268,178.86
Bay City,43.5902,-83.8887,United States,Michigan,65704.0,506.9408416748047,0.0
Victoria,28.8287,-96.9849,United States,Texas,65656.0,73924471.88617599,73.92
Bozeman,45.6833,-111.0558,United States,Montana,65279.0,5236.164131164551,0.01
Brentwood,40.7839,-73.2522,United States,New York,65042.0,27392512.46272892,27.39
Pflugerville,30.4515,-97.6018,United States,Texas,64528.0,36540742.13430105,36.54
Brentwood,37.9356,-121.719,United States,California,64443.0,27392512.46272892,27.39
Spring,30.0613,-95.383,United States,Texas,63930.0,146710429.69260257,146.71
Port Charlotte,26.9918,-82.114,United States,Florida,63913.0,140159213.58270442,140.16
Greenwood,39.6019,-86.1073,United States,Indiana,63579.0,2960679.6688637827,2.96
