LocationAbbr,LocationDesc,LocationID,TopicID,DataSource,DataSourceUrl,Question,QuestionID,StratificationCategoryId,StratificationCategory,Stratification,StratificationID,YearStart,YearEnd,DataValue,LowConfidenceLimit,HighConfidenceLimit,DataValueDisplay,LowConfidenceLimitDisplay,HighConfidenceLimitDisplay,DataValueUnit,DataValueType,DataValueTypeID,DataValueFootnote,DataValueFootnoteSymbol,DisplayOrder
"IN","Indiana","18","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,75,74.9,75.1,"75.00","74.9","75.1","Years","Number","NMBR","","","3"
"IA","Iowa","19","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,77.5,77.3,77.7,"77.5","77.3","77.7","Years","Number","NMBR","","","3"
"KS","Kansas","20","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,76.4,76.2,76.6,"76.4","76.2","76.6","Years","Number","NMBR","","","3"
"KY","Kentucky","21","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,73.5,73.4,73.6,"73.5","73.4","73.6","Years","Number","NMBR","","","3"
"LA","Louisiana","22","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,73.1,73,73.2,"73.1","73.00","73.2","Years","Number","NMBR","","","3"
"ME","Maine","23","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,77.8,77.6,78,"77.8","77.6","78.00","Years","Number","NMBR","","","3"
"MD","Maryland","24","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,76.8,76.7,76.9,"76.8","76.7","76.9","Years","Number","NMBR","","","3"
"MA","Massachusetts","25","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,79,78.9,79.1,"79.00","78.9","79.1","Years","Number","NMBR","","","3"
"MI","Michigan","26","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,76,75.9,76.1,"76.00","75.9","76.1","Years","Number","NMBR","","","3"
"MN","Minnesota","27","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,79.1,79,79.2,"79.1","79.00","79.2","Years","Number","NMBR","","","3"
"MS","Mississippi","28","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,71.9,71.7,72.1,"71.9","71.7","72.1","Years","Number","NMBR","","","3"
"MO","Missouri","29","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,75.1,75,75.2,"75.1","75.00","75.2","Years","Number","NMBR","","","3"
"MT","Montana","30","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,76.8,76.5,77.1,"76.8","76.5","77.1","Years","Number","NMBR","","","3"
"NE","Nebraska","31","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,77.7,77.5,77.9,"77.7","77.5","77.9","Years","Number","NMBR","","","3"
"NV","Nevada","32","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,76.3,76.1,76.5,"76.3","76.1","76.5","Years","Number","NMBR","","","3"
"NH","New Hampshire","33","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,79,78.8,79.2,"79.00","78.8","79.2","Years","Number","NMBR","","","3"
"NJ","New Jersey","34","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,77.5,77.4,77.6,"77.5","77.4","77.6","Years","Number","NMBR","","","3"
"NM","New Mexico","35","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,74.5,74.3,74.7,"74.5","74.3","74.7","Years","Number","NMBR","","","3"
"NY","New York","36","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,77.7,77.6,77.8,"77.7","77.6","77.8","Years","Number","NMBR","","","3"
"NC","North Carolina","37","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,76.1,76,76.2,"76.1","76.00","76.2","Years","Number","NMBR","","","3"
"ND","North Dakota","38","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,76.9,76.6,77.2,"76.9","76.6","77.2","Years","Number","NMBR","","","3"
"OH","Ohio","39","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,75.3,75.2,75.4,"75.3","75.2","75.4","Years","Number","NMBR","","","3"
"OK","Oklahoma","40","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,74.1,74,74.2,"74.1","74.00","74.2","Years","Number","NMBR","","","3"
"OR","Oregon","41","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,78.8,78.7,78.9,"78.8","78.7","78.9","Years","Number","NMBR","","","3"
"PA","Pennsylvania","42","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,76.8,76.7,76.9,"76.8","76.7","76.9","Years","Number","NMBR","","","3"
"RI","Rhode Island","44","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,78.2,77.9,78.5,"78.2","77.9","78.5","Years","Number","NMBR","","","3"
"SC","South Carolina","45","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,74.8,74.7,74.9,"74.8","74.7","74.9","Years","Number","NMBR","","","3"
"SD","South Dakota","46","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,76.7,76.4,77,"76.7","76.4","77.00","Years","Number","NMBR","","","3"
"TN","Tennessee","47","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,73.8,73.7,73.9,"73.8","73.7","73.9","Years","Number","NMBR","","","3"
"TX","Texas","48","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,76.5,76.4,76.6,"76.5","76.4","76.6","Years","Number","NMBR","","","3"
"UT","Utah","49","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,78.6,78.4,78.8,"78.6","78.4","78.8","Years","Number","NMBR","","","3"
"VT","Vermont","50","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,78.8,78.5,79.1,"78.8","78.5","79.1","Years","Number","NMBR","","","3"
"VA","Virginia","51","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,77.6,77.5,77.7,"77.6","77.5","77.7","Years","Number","NMBR","","","3"
"WA","Washington","53","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,79.2,79.1,79.3,"79.2","79.1","79.3","Years","Number","NMBR","","","3"
"WV","West Virginia","54","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,72.8,72.6,73,"72.8","72.6","73.00","Years","Number","NMBR","","","3"
"WI","Wisconsin","55","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,77.7,77.6,77.8,"77.7","77.6","77.8","Years","Number","NMBR","","","3"
"WY","Wyoming","56","HEA","NVSS","https://www.cdc.gov/nchs/nvss.htm","Life expectancy at birth","HEA06","OVERALL","Overall","Overall","OVR",2020,2020,76.3,75.9,76.7,"76.3","75.9","76.7","Years","Number","NMBR","","","3"
